n_train,auc_mean,auc_ci_low,auc_ci_high,brier_mean,brier_ci_low,brier_ci_high
50,0.8955607364897178,0.876954806312769,0.9098009325681493,0.12626496876641463,0.11579924552410623,0.13877431162268086
100,0.8980200860832136,0.8824814681970349,0.9135760401721664,0.12462088130369933,0.11195820746268861,0.1355342062915786
200,0.8974689143950262,0.8830015542802487,0.9133249641319943,0.12597721600894363,0.11499696224105145,0.13800231618805486
400,0.8964084170253467,0.8760670731707316,0.9103359636537541,0.1259771521182932,0.11531527054844609,0.14140418409794794
736,0.8959158297465328,0.877005619320899,0.9116122668579627,0.12622111003360026,0.11639890688280283,0.13984844431018875
